City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
ushuaia,40,AR,1600876514,43,-54.8,-68.3,51.8,19.46
busselton,0,AU,1600876514,52,-33.65,115.33,59.0,14.09
albany,40,AU,1600876514,93,-35.02,117.89,50.0,9.17
kamloops,90,CA,1600876514,62,50.67,-120.32,59.0,13.87
bengkulu,95,ID,1600876515,89,-3.8,102.27,78.66,6.38
jamestown,39,SH,1600876515,88,-15.94,-5.72,60.66,14.52
cuencame,1,MX,1600876515,27,24.87,-103.7,73.53,4.61
tasiilaq,20,GL,1600876515,89,65.61,-37.64,32.0,3.36
hermanus,0,ZA,1600876515,74,-34.42,19.23,64.99,3
cabo san lucas,40,MX,1600876515,69,22.89,-109.91,84.0,6.93
souillac,40,MU,1600876515,68,-20.52,57.52,71.6,4.7
dunedin,80,NZ,1600876516,84,-45.87,170.5,50.0,4
callaway,1,US,1600876516,69,30.15,-85.57,82.0,14.99
hobart,75,AU,1600876468,87,-42.88,147.33,42.8,5.82
bambous virieux,40,MU,1600876516,68,-20.34,57.76,71.6,4.7
kimbe,61,PG,1600876516,88,-5.55,150.14,76.1,3.42
port alfred,20,ZA,1600876517,69,-33.59,26.89,65.32,6.15
qaanaaq,72,GL,1600876517,82,77.48,-69.36,15.66,13.78
kapaa,20,US,1600876458,78,22.08,-159.32,78.8,11.41
rikitea,4,PF,1600876517,74,-23.12,-134.97,72.03,14.18
tessalit,4,ML,1600876517,8,20.2,1.01,104.83,8.39
cape town,27,ZA,1600876432,72,-33.93,18.42,64.99,16.11
punta arenas,75,CL,1600876517,57,-53.15,-70.92,51.8,34.45
vila franca do campo,75,PT,1600876517,88,37.72,-25.43,66.2,27.51
luderitz,0,NA,1600876518,51,-26.65,15.16,64.42,5.44
maniitsoq,0,GL,1600876518,80,65.42,-52.9,34.32,13.58
yelnya,0,RU,1600876518,80,54.58,33.18,57.54,6.08
jiangyou,70,CN,1600876518,85,31.77,104.72,66.67,2.28
medicine hat,40,CA,1600876505,93,50.05,-110.67,55.0,2.24
portland,89,AU,1600876519,76,-38.33,141.6,46.56,9.04
betanzos,0,BO,1600876519,23,-19.55,-65.45,62.6,8.05
san miguel,75,PA,1600876519,83,8.54,-82.75,80.6,2.24
luena,0,AO,1600876520,21,-11.78,19.92,85.37,5.39
sao joao da barra,90,BR,1600876520,88,-21.64,-41.05,69.8,6.93
hasaki,75,JP,1600876520,100,35.73,140.83,68.0,12.75
kristiansund,75,NO,1600876520,76,63.11,7.73,48.2,13.87
saint-philippe,27,RE,1600876521,68,-21.36,55.77,69.8,8.05
kaitangata,89,NZ,1600876521,82,-46.28,169.85,48.0,4
nyurba,0,RU,1600876521,74,63.28,118.33,41.88,4.45
clyde river,20,CA,1600876521,79,70.47,-68.59,26.6,9.28
santa rosa,95,AR,1600876521,28,-36.62,-64.28,75.99,9.31
mitsamiouli,12,KM,1600876522,79,-11.38,43.28,78.37,10.92
soria,40,ES,1600876522,67,41.67,-2.67,64.99,1.99
carnarvon,69,AU,1600876522,72,-24.87,113.63,62.6,4.7
sept-iles,90,CA,1600876382,71,50.2,-66.38,53.6,8.05
kiruna,98,SE,1600876522,93,67.86,20.23,44.6,12.75
husavik,75,IS,1600876523,86,66.04,-17.34,37.4,13.87
gayny,42,RU,1600876523,81,60.31,54.32,39.74,7.56
yellowknife,75,CA,1600876502,100,62.46,-114.35,46.4,11.41
nikolskoye,0,RU,1600876523,72,59.7,30.79,66.0,4.47
cidreira,2,BR,1600876583,64,-30.18,-50.21,66.7,11.39
lebu,37,CL,1600876583,64,-37.62,-73.65,55.11,12.37
mikuni,75,JP,1600876584,88,36.22,136.15,71.6,4.7
nouadhibou,0,MR,1600876584,74,20.93,-17.03,78.8,17.22
benguela,27,AO,1600876584,83,-12.58,13.41,73.4,6.93
bam,0,IR,1600876584,20,29.11,58.36,73.71,10.54
hilo,90,US,1600876584,88,19.73,-155.09,75.2,6.93
ostrovnoy,78,RU,1600876584,71,68.05,39.51,44.47,12.97
la ronge,20,CA,1600876584,81,55.1,-105.28,48.2,9.17
vaini,20,TO,1600876584,88,-21.2,-175.2,69.8,6.93
lorengau,88,PG,1600876585,69,-2.02,147.27,82.44,5.32
victoria,20,SC,1600876459,65,-4.62,55.45,78.8,8.05
strelka,100,RU,1600876585,90,58.07,93.03,48.43,8.68
kisangani,48,CD,1600876585,68,0.52,25.2,80.49,2.26
wladyslawowo,43,PL,1600876585,49,54.79,18.4,73.4,9.17
arraial do cabo,75,BR,1600876498,60,-22.97,-42.03,75.2,11.41
tucumcari,1,US,1600876421,42,35.17,-103.72,68.0,3.36
barbastro,40,ES,1600876585,44,42.04,0.13,78.8,6.93
yeppoon,90,AU,1600876586,88,-23.13,150.73,71.6,4.7
cairns,44,AU,1600876586,83,-16.92,145.77,71.6,6.93
kununurra,34,AU,1600876586,69,-15.77,128.73,78.8,5.82
mar del plata,100,AR,1600876496,55,-38,-57.56,62.6,5.82
barrow,90,US,1600876577,63,71.29,-156.79,30.2,3.36
marsh harbour,100,BS,1600876586,57,26.54,-77.06,80.89,12.1
nhamunda,18,BR,1600876586,28,-2.19,-56.71,101.88,6.71
tailai,0,CN,1600876586,94,46.38,123.4,59.0,8.99
te anau,57,NZ,1600876587,85,-45.42,167.72,44.17,4.79
vila do maio,20,CV,1600876587,62,15.13,-23.22,87.8,11.41
bethel,1,US,1600876587,49,41.37,-73.41,69.01,11.41
moerai,54,PF,1600876587,88,-22.43,-151.33,75.06,12.73
rundu,0,NA,1600876587,11,-17.93,19.77,92.93,9.28
tortoli,20,IT,1600876587,32,39.93,9.66,82.4,12.75
nantucket,1,US,1600876519,59,41.28,-70.1,66.2,14.99
avarua,94,CK,1600876588,94,-21.21,-159.78,73.4,8.05
pevek,100,RU,1600876588,97,69.7,170.31,37.85,16.46
dingle,20,IE,1600876588,58,52.14,-10.27,57.2,8.05
castro,0,CL,1600876588,50,-42.47,-73.77,54.48,4.59
kavaratti,99,IN,1600876588,81,10.57,72.64,81.61,18.5
tiksi,38,RU,1600876588,73,71.69,128.87,43.88,12.64
thompson,75,CA,1600876588,75,55.74,-97.86,44.6,3.36
sardarshahr,88,IN,1600876589,34,28.43,74.48,96.06,5.86
caravelas,73,BR,1600876589,59,-17.71,-39.25,81.39,11.27
cayenne,68,GF,1600876589,55,4.93,-52.33,89.6,12.75
roswell,1,US,1600876411,64,34.02,-84.36,71.01,3.36
ulladulla,0,AU,1600876357,58,-35.35,150.47,55.4,14.99
longyearbyen,75,SJ,1600876589,91,78.22,15.64,32.0,11.41
mattru,77,SL,1600876589,89,7.62,-11.83,79.84,5.91
mongo,51,TD,1600876590,60,12.18,18.69,86.94,9.28
porto walter,83,BR,1600876590,41,-8.27,-72.74,90.39,4.7
balsas,46,BR,1600876590,25,-7.53,-46.04,100.6,5.77
khatanga,100,RU,1600876650,92,71.97,102.5,46.72,5.82
hovin,100,NO,1600876650,74,63.11,10.22,51.01,4
shieli,97,KZ,1600876650,33,44.17,66.75,59.4,8.61
lodja,64,CD,1600876384,79,-3.48,23.43,76.57,1.34
prince george,40,CA,1600876430,62,53.92,-122.75,55.4,16.11
tebingtinggi,76,ID,1600876651,92,3.33,99.16,75.96,2.39
atuona,30,PF,1600876651,72,-9.8,-139.03,77.94,22.32
new norfolk,43,AU,1600876651,76,-42.78,147.06,41.0,2.33
leeton,75,AU,1600876651,93,-34.57,146.4,48.0,8.05
saint george,40,BM,1600876651,47,32.38,-64.68,78.8,9.17
richards bay,0,ZA,1600876651,71,-28.78,32.04,69.73,12.3
faanui,19,PF,1600876651,79,-16.48,-151.75,78.44,15.64
ginir,85,ET,1600876651,81,7.13,40.7,62.22,5.17
rio gallegos,75,AR,1600876652,37,-51.62,-69.22,55.4,13.87
korla,92,CN,1600876652,70,41.76,86.15,71.01,3
sakakah,8,SA,1600876652,10,29.97,40.21,100.4,0.74
juneau,90,US,1600876652,93,58.3,-134.42,48.99,7.52
rancho palos verdes,0,US,1600876652,97,33.74,-118.39,69.01,1.01
fare,26,PF,1600876652,77,-16.7,-151.02,79.36,16.84
ponta do sol,40,CV,1600876652,74,17.2,-25.09,86.0,10.29
katherine,4,AU,1600876652,40,-14.47,132.27,87.8,6.93
tanout,0,NE,1600876653,11,14.97,8.89,100.11,12.75
sovetskaya,0,RU,1600876653,61,44.78,41.17,64.44,9.84
skibbereen,40,IE,1600876653,58,51.55,-9.27,55.4,9.17
kinston,1,US,1600876459,68,35.26,-77.58,69.01,3.31
kavieng,73,PG,1600876653,67,-2.57,150.8,82.35,8.39
oranjemund,0,NA,1600876653,39,-28.55,16.43,69.12,16.15
saskylakh,0,RU,1600876653,72,71.92,114.08,45.45,14.34
